charge,anlage,area,product,recipe,start,ende,diff,diffm
6272066_6272070,Keimfiltration_1_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112021AB,Keimfiltration_1,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112021AB,2020-05-18 22:56:15.952000+00:00,2020-05-19 01:41:46.291000+00:00,0 days 02:45:30.339000,165.50565
6272664_6272672,Loesebehaelter_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Loesebehaelter,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-19 01:45:56.811000+00:00,2020-05-19 02:40:57.944000+00:00,0 days 00:55:01.133000,55.018883333333335
6272671_6272676,Partikelfiltration_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112011A,Partikelfiltration,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112011A,2020-05-19 00:59:06.012000+00:00,2020-05-19 01:22:25.520000+00:00,0 days 00:23:19.508000,23.325133333333333
6272677_6272681,Ansatz_Transfer_#_CIP_PLS_A_#_RP05_CIP_TRANSFER,Ansatz_Transfer,CIP_PLS_A,RP05_CIP_TRANSFER,2020-05-19 01:46:14.507000+00:00,2020-05-19 02:01:51.265000+00:00,0 days 00:15:36.758000,15.612633333333331
6272776_6272782,Partikelfiltration_#_SIP_#_RP07_SIP_TRANS_FLT,Partikelfiltration,SIP,RP07_SIP_TRANS_FLT,2020-05-19 01:23:13.039000+00:00,2020-05-19 01:46:04.309000+00:00,0 days 00:22:51.270000,22.8545
6272805_6272809,Keimfiltration_1_#_SIP_#_RP07_SIP_TRANS_FLT,Keimfiltration_1,SIP,RP07_SIP_TRANS_FLT,2020-05-19 01:47:04.097000+00:00,2020-05-19 02:44:45.413000+00:00,0 days 00:57:41.316000,57.6886
6272860_6272864,Ansatz_Transfer_#_SIP_#_RP08_SIP_TRANSFER,Ansatz_Transfer,SIP,RP08_SIP_TRANSFER,2020-05-19 02:05:39.716000+00:00,2020-05-19 02:40:38.754000+00:00,0 days 00:34:59.038000,34.98396666666667
6273074_6273080,Abfuellbeh_2_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Abfuellbeh_2,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-19 04:08:06.175000+00:00,2020-05-19 05:16:10.667000+00:00,0 days 01:08:04.492000,68.07486666666667
6273081_6273088,Keimfiltration_2_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112021AB,Keimfiltration_2,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112021AB,2020-05-19 05:27:28.705000+00:00,2020-05-19 06:36:43.346000+00:00,0 days 01:09:14.641000,69.24401666666667
6273097_6273105,Ventilknoten_Abf_#_CIP_PLS_A_#_RP35_CIP_ABF_KNT,Ventilknoten_Abf,CIP_PLS_A,RP35_CIP_ABF_KNT,2020-05-19 04:07:55.325000+00:00,2020-05-19 04:25:28.536000+00:00,0 days 00:17:33.211000,17.553516666666667
6273843_6273847,Keimfiltration_2_#_SIP_#_RP07_SIP_TRANS_FLT,Keimfiltration_2,SIP,RP07_SIP_TRANS_FLT,2020-05-19 06:43:05.360000+00:00,2020-05-19 07:09:20.998000+00:00,0 days 00:26:15.638000,26.26063333333333
6273869_6273877,Loesebehaelter_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Loesebehaelter,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-19 08:33:34.060000+00:00,2020-05-19 09:27:25.448000+00:00,0 days 00:53:51.388000,53.85646666666667
6273876_6273881,Partikelfiltration_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112011A,Partikelfiltration,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112011A,2020-05-19 06:50:29.674000+00:00,2020-05-19 07:44:18.763000+00:00,0 days 00:53:49.089000,53.81815
6273882_6273886,Ansatz_Transfer_#_CIP_PLS_A_#_RP05_CIP_TRANSFER,Ansatz_Transfer,CIP_PLS_A,RP05_CIP_TRANSFER,2020-05-19 08:33:23.610000+00:00,2020-05-19 08:49:02.862000+00:00,0 days 00:15:39.252000,15.6542
6273951_6273956,Partikelfiltration_#_SIP_#_RP07_SIP_TRANS_FLT,Partikelfiltration,SIP,RP07_SIP_TRANS_FLT,2020-05-19 07:45:04.251000+00:00,2020-05-19 08:07:53.170000+00:00,0 days 00:22:48.919000,22.815316666666668
6273985_6273989,Ansatz_Transfer_#_SIP_#_RP08_SIP_TRANSFER,Ansatz_Transfer,SIP,RP08_SIP_TRANSFER,2020-05-19 08:49:36.046000+00:00,2020-05-19 09:19:32.205000+00:00,0 days 00:29:56.159000,29.935983333333333
6274281_6274285,Abfuellbeh_1_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Abfuellbeh_1,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-19 10:46:38.806000+00:00,2020-05-19 11:57:58.157000+00:00,0 days 01:11:19.351000,71.32251666666667
6274288_6274293,Keimfiltration_1_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112021AB,Keimfiltration_1,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112021AB,2020-05-19 13:07:34.810000+00:00,2020-05-19 14:18:39.197000+00:00,0 days 01:11:04.387000,71.07311666666666
